,home_runs,player_name,total_pitches,pitch_percent,xwoba,xba,launch_speed,launch_angle,spin_rate,velocity,effective_speed,release_extension
493,1,Trevor Plouffe,51,2.0,1.482,0.753,101.7,28.0,2320.0,84.3,84.0,6.4
494,1,Matt Szczur,314,0.3,1.275,0.7,101.4,26.0,2397.0,88.7,87.9,5.6
495,1,Matt Skole,52,1.9,1.9880000000000002,0.987,110.1,27.0,2098.0,89.9,89.0,5.7
496,1,Dawel Lugo,361,0.3,1.111,0.703,102.1,23.0,2138.0,95.6,96.5,6.9
497,1,Dixon Machado,924,0.1,0.9520000000000001,0.6920000000000001,104.2,20.0,2420.0,93.1,92.7,6.4
498,1,Martin Prado,819,0.1,1.0759999999999998,0.65,101.4,24.0,2173.0,89.7,88.4,5.7
500,1,Anthony Santander,432,0.2,1.411,0.687,105.2,35.0,2369.0,93.6,92.3,5.9
501,1,Eric Young Jr.,437,0.2,1.27,0.695,101.5,27.0,2180.0,88.3,87.6,5.8
502,1,Tyler Wade,273,0.4,1.286,0.71,101.1,28.0,2202.0,89.6,89.2,6.0
503,1,Anthony DeSclafani,153,0.7,1.3419999999999999,0.81,102.7,23.0,2057.0,92.3,92.3,6.0
504,1,Tyson Ross,193,0.5,1.482,0.753,101.5,28.0,2416.0,88.7,88.9,6.3
506,1,Jeff Mathis,876,0.1,0.914,0.637,103.0,20.0,2288.0,96.4,96.6,6.2
507,1,Andrew Stevenson,344,0.3,1.14,0.6659999999999999,101.3,25.0,2630.0,86.0,85.7,5.8
508,1,Victor Reyes,817,0.1,1.472,0.742,101.7,27.0,2532.0,94.4,95.2,6.6
509,1,Erik Gonzalez,510,0.2,1.8559999999999999,0.953,106.1,25.0,2013.0,83.4,83.1,5.9
512,1,Gabriel Guerrero,72,1.4,1.8980000000000001,0.94,106.4,28.0,2253.0,86.2,85.7,5.9
514,1,Alex Verdugo,347,0.3,1.055,0.526,100.6,33.0,2374.0,95.7,95.3,6.0
518,1,Gio Urshela,175,0.6,1.141,0.61,100.2,30.0,1280.0,81.1,80.5,5.8
519,1,Kaleb Cowart,478,0.2,1.4369999999999998,0.742,102.7,32.0,2059.0,95.9,95.6,6.1
520,1,A.J. Ellis,793,0.1,1.5519999999999998,0.847,102.9,25.0,1656.0,83.8,84.3,6.3
521,1,Cam Gallagher,264,0.4,0.987,0.524,100.5,31.0,2123.0,83.8,82.4,5.1
522,1,Richard Urena,405,0.2,1.422,0.8340000000000001,104.6,22.0,2468.0,84.1,84.0,6.2
523,1,Rajai Davis,792,0.1,0.648,0.51,102.2,19.0,2303.0,89.7,89.4,6.6
524,1,Yadiel Rivera,642,0.2,1.4240000000000002,0.784,102.2,26.0,1375.0,82.1,81.8,6.1
525,1,Raimel Tapia,104,1.0,0.9590000000000001,0.5920000000000001,100.4,25.0,2300.0,96.2,96.6,6.6
526,1,Phil Gosselin,112,0.9,1.023,0.653,101.5,23.0,2315.0,95.9,95.1,6.1
527,1,A.J. Cole,12,8.3,0.919,0.679,105.2,19.0,2224.0,88.9,89.5,6.5
528,1,Zach Eflin,172,0.6,1.7309999999999999,0.94,106.1,23.0,2034.0,87.4,89.0,7.1
530,1,Bruce Maxwell,217,0.5,1.97,0.982,108.4,25.0,2001.0,90.2,91.3,6.7
531,1,Peter Bourjos,172,0.6,0.605,0.413,97.9,23.0,2281.0,91.6,91.4,6.0
533,1,Pete Kozma,276,0.4,0.968,0.513,98.6,27.0,2099.0,87.4,84.5,5.1
534,1,Carlos Martinez,128,0.8,1.776,0.905,103.6,26.0,2071.0,91.6,91.0,6.0
